WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
16573,715,0,715,14.3,0,14.3,955.833333,0,955.833333,19.11666665,0,19.11666665,0,0
16572,24050,0,24050,481,0,481,37165.83334,0,37165.83334,743.3166666,0,743.3166666,57.36666673,2868.333337
16571,3550,0,3550,71,0,71,2250,0,2250,44.99999999,0,44.99999999,26.00000001,1300.000001
16570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16569,1035,0,1035,20.7,0,20.7,948.333336,0,948.333336,18.96666667,0,18.96666667,7.94999999,397.4999995
16568,2250,0,2250,45,0,45,2797.5,0,2797.5,55.94999997,0,55.94999997,6.1,305
16567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16566,1400,0,1400,28,0,28,1385.000001,0,1385.000001,27.70000001,0,27.70000001,2,100
16565,0,0,0,0,0,0,1512.5,0,1512.5,30.25,0,30.25,0,0
16564,0,0,0,0,0,0,5000,0,5000,100,0,100,0,0
16563,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16562,650,0,650,13,0,13,884.166667,0,884.166667,17.68333333,0,17.68333333,0,0
16561,2033.333334,0,2033.333334,40.66666667,0,40.66666667,910.833335,0,910.833335,18.21666668,0,18.21666668,22.44999999,1122.5
16560,0,0,0,0,0,0,11568.33333,0,11568.33333,231.3666666,0,231.3666666,0,0
16559,0,0,0,0,0,0,68864.16667,0,68864.16667,1377.283333,0,1377.283333,0,0
16558,0,0,0,0,0,0,2825,0,2825,56.5,0,56.5,0,0
16557,300,0,300,6,0,6,308.333334,0,308.333334,6.16666666,0,6.16666666,1.83333334,91.666667
16556,5550,0,5550,111,0,111,5416.666664,0,5416.666664,108.3333333,0,108.3333333,21.70000004,1085.000002
16555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16553,0.013889,0,0.013889,0.00027778,0,0.00027778,0,0,0,0,0,0,0.00027778,0.013889
16552,22000,0,22000,440,0,440,39250,0,39250,785,0,785,0,0
