WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
5242,72.16250000000000,0.00000000000000,72.16250000000000,3.25000000,0.00000000,3.25000000,158.825000,0.000000,158.825000,6.50000000,0.00000000,6.50000000,1.25000000,24.1875000000000
5243,86.01250000000000,0.00000000000000,86.01250000000000,4.00000000,0.00000000,4.00000000,32.775000,0.000000,32.775000,1.50000000,0.00000000,1.50000000,3.75000000,81.1750000000000
5244,86.01250000000000,0.00000000000000,86.01250000000000,4.00000000,0.00000000,4.00000000,56.050000,0.000000,56.050000,2.50000000,0.00000000,2.50000000,1.50000000,31.0125000000000
5245,5796.40000000000000,0.00000000000000,5796.40000000000000,266.50000000,0.00000000,266.50000000,5893.125000,0.000000,5893.125000,250.25000000,0.00000000,250.25000000,73.50000000,1450.5250000000000
5246,729.85458391500000,0.00000000000000,729.85458391500000,33.58472225,0.00000000,33.58472225,678.125000,0.000000,678.125000,30.00000000,0.00000000,30.00000000,14.08333335,284.5791669450000
5247,5397.13750000000000,0.00000000000000,5397.13750000000000,239.75000000,0.00000000,239.75000000,5796.650000,0.000000,5796.650000,243.58333333,0.00000000,243.58333333,33.91666667,702.0000000645000
5248,88.00000000000000,0.00000000000000,88.00000000000000,4.00000000,0.00000000,4.00000000,132.275000,0.000000,132.275000,5.75000000,0.00000000,5.75000000,0.00000000,0.0000000000000
5249,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,224.200000,0.000000,224.200000,11.00000000,0.00000000,11.00000000,0.00000000,0.0000000000000
5250,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,31.650000,0.000000,31.650000,1.50000000,0.00000000,1.50000000,0.00000000,0.0000000000000
5251,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000000000000
5252,0.20000160000000,0.00000000000000,0.20000160000000,0.01111120,0.00000000,0.01111120,63.000000,0.000000,63.000000,3.50000000,0.00000000,3.50000000,0.00000000,0.0000000000000
5253,1049.18258345850000,0.00000000000000,1049.18258345850000,48.66694445,0.00000000,48.66694445,793.087500,0.000000,793.087500,33.00000000,0.00000000,33.00000000,21.50000000,413.9250000000000
5254,4148.00000000000000,0.00000000000000,4148.00000000000000,169.50000000,0.00000000,169.50000000,6416.850000,0.000000,6416.850000,255.33333333,0.00000000,255.33333333,45.16666667,1087.2500000645000
5255,44.00000000000000,0.00000000000000,44.00000000000000,2.00000000,0.00000000,2.00000000,24.000000,0.000000,24.000000,1.00000000,0.00000000,1.00000000,1.00000000,22.0000000000000
5256,90.97000000000000,0.00000000000000,90.97000000000000,4.40000000,0.00000000,4.40000000,11.000000,0.000000,11.000000,0.50000000,0.00000000,0.50000000,4.40000000,90.9700000000000
5257,9065.96250000000000,0.00000000000000,9065.96250000000000,396.50000000,0.00000000,396.50000000,8885.375000,0.000000,8885.375000,365.75000000,0.00000000,365.75000000,124.75000000,2860.6000000000000
5258,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0061111600000
5259,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,78.325000,0.000000,78.325000,3.25000000,0.00000000,3.25000000,0.00000000,0.0000000000000
5260,0.04300034400000,0.00000000000000,0.04300034400000,0.00222224,0.00000000,0.00222224,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00222224,0.0430003440000
5261,1755.25000000000000,0.00000000000000,1755.25000000000000,76.00000000,0.00000000,76.00000000,2677.675000,0.000000,2677.675000,107.75000000,0.00000000,107.75000000,5.00000000,91.3875000000000
5262,364.82087810000000,0.00000000000000,364.82087810000000,17.02778000,0.00000000,17.02778000,179.437500,0.000000,179.437500,8.50000000,0.00000000,8.50000000,8.52778000,186.4333781000000
5263,0.00575004600000,0.00000000000000,0.00575004600000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0057500460000
5264,543.83000009100000,0.00000000000000,543.83000009100000,25.16666667,0.00000000,25.16666667,1268.075000,0.000000,1268.075000,51.50000000,0.00000000,51.50000000,5.25000000,101.5875000000000
5265,292.45000000000000,0.00000000000000,292.45000000000000,12.75000000,0.00000000,12.75000000,364.475000,0.000000,364.475000,17.50000000,0.00000000,17.50000000,3.75000000,99.0750000000000
5266,2489.96666680900000,0.00000000000000,2489.96666680900000,102.33333334,0.00000000,102.33333334,4652.625000,0.000000,4652.625000,190.75000000,0.00000000,190.75000000,6.41666668,132.6875002890000
5267,355.25000000000000,0.00000000000000,355.25000000000000,16.75000000,0.00000000,16.75000000,780.050000,0.000000,780.050000,34.25000000,0.00000000,34.25000000,0.75000000,14.5125000000000
5268,1762.27500000000000,0.00000000000000,1762.27500000000000,79.50000000,0.00000000,79.50000000,2504.225000,0.000000,2504.225000,104.50000000,0.00000000,104.50000000,14.75000000,290.0500000000000
5269,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000000000000
5270,220.00000000000000,0.00000000000000,220.00000000000000,10.00000000,0.00000000,10.00000000,104.500000,0.000000,104.500000,4.75000000,0.00000000,4.75000000,5.25000000,115.5000000000000
5271,88.00000000000000,0.00000000000000,88.00000000000000,4.00000000,0.00000000,4.00000000,192.775000,0.000000,192.775000,8.50000000,0.00000000,8.50000000,2.75000000,60.5000000000000
5272,880.00000000000000,0.00000000000000,880.00000000000000,40.00000000,0.00000000,40.00000000,364.250000,0.000000,364.250000,16.25000000,0.00000000,16.25000000,27.50000000,605.0000000000000
5273,2764.60000000000000,0.00000000000000,2764.60000000000000,119.00000000,0.00000000,119.00000000,5653.100000,0.000000,5653.100000,234.25000000,0.00000000,234.25000000,6.00000000,143.6500000000000
5274,8271.78750000000000,0.00000000000000,8271.78750000000000,375.50000000,0.00000000,375.50000000,10126.575000,0.000000,10126.575000,438.33333333,0.00000000,438.33333333,137.16666667,2993.4125000645000
5275,228.00666672000000,0.00000000000000,228.00666672000000,10.00027778,0.00000000,10.00027778,108.100000,0.000000,108.100000,4.50000000,0.00000000,4.50000000,7.00000000,156.0000000000000
5276,132.00666672000000,0.00000000000000,132.00666672000000,6.00027778,0.00000000,6.00027778,24.000000,0.000000,24.000000,1.00000000,0.00000000,1.00000000,5.00027778,108.0066667200000
5277,92.00000000000000,0.00000000000000,92.00000000000000,4.00000000,0.00000000,4.00000000,12.050000,0.000000,12.050000,0.50000000,0.00000000,0.50000000,3.50000000,80.0000000000000
5278,812.00666672000000,0.00000000000000,812.00666672000000,35.00027778,0.00000000,35.00027778,727.550000,0.000000,727.550000,29.75000000,0.00000000,29.75000000,6.25000000,137.0000000000000
5279,2998.10000000000000,0.00000000000000,2998.10000000000000,126.50000000,0.00000000,126.50000000,4419.075000,0.000000,4419.075000,186.00000000,0.00000000,186.00000000,40.75000000,974.3000000000000
5280,408.00000000000000,0.00000000000000,408.00000000000000,18.00000000,0.00000000,18.00000000,428.000000,0.000000,428.000000,20.00000000,0.00000000,20.00000000,6.50000000,150.0000000000000
5281,412.00666672000000,0.00000000000000,412.00666672000000,18.00027778,0.00000000,18.00027778,480.225000,0.000000,480.225000,20.00000000,0.00000000,20.00000000,5.00000000,100.0000000000000
5282,660.00666672000000,0.00000000000000,660.00666672000000,28.00027778,0.00000000,28.00027778,240.000000,0.000000,240.000000,10.00000000,0.00000000,10.00000000,21.00000000,492.0000000000000
5283,612.00666672000000,0.00000000000000,612.00666672000000,26.00027778,0.00000000,26.00027778,90.000000,0.000000,90.000000,3.75000000,0.00000000,3.75000000,22.25027778,522.0066667200000
5284,756.00666672000000,0.00000000000000,756.00666672000000,32.00027778,0.00000000,32.00027778,198.075000,0.000000,198.075000,8.25000000,0.00000000,8.25000000,29.00000000,684.0000000000000
5285,184.00666672000000,0.00000000000000,184.00666672000000,8.00027778,0.00000000,8.00027778,132.050000,0.000000,132.050000,5.50000000,0.00000000,5.50000000,6.00000000,136.0000000000000
5286,110.00000000000000,0.00000000000000,110.00000000000000,4.75000000,0.00000000,4.75000000,96.000000,0.000000,96.000000,4.00000000,0.00000000,4.00000000,3.25000000,74.0000000000000
5287,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0061111600000
5288,62.00000000000000,0.00000000000000,62.00000000000000,2.75000000,0.00000000,2.75000000,121.000000,0.000000,121.000000,5.50000000,0.00000000,5.50000000,0.75000000,18.0000000000000
5289,103.85000001100000,0.00000000000000,103.85000001100000,4.50000000,0.00000000,4.50000000,84.825000,0.000000,84.825000,3.25000000,0.00000000,3.25000000,4.25000000,97.8500000110000
5290,665.20555560000000,0.00000000000000,665.20555560000000,27.50027778,0.00000000,27.50027778,1537.025000,0.000000,1537.025000,63.00000000,0.00000000,63.00000000,0.00000000,0.0000000000000
5291,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0061111600000
5292,2467.00000000000000,0.00000000000000,2467.00000000000000,100.75000000,0.00000000,100.75000000,2564.350000,0.000000,2564.350000,106.00000000,0.00000000,106.00000000,26.75000000,637.8250000000000
5293,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,65.675000,0.000000,65.675000,2.75000000,0.00000000,2.75000000,0.00000000,0.0000000000000
5294,2260.00666672000000,0.00000000000000,2260.00666672000000,98.50027778,0.00000000,98.50027778,2333.412500,0.000000,2333.412500,101.00000000,0.00000000,101.00000000,23.00000000,540.0000000000000
5295,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,3488.300000,0.000000,3488.300000,147.00000000,0.00000000,147.00000000,0.00000000,0.0000000000000
5296,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,2394.791667,0.000000,2394.791667,102.49999999,0.00000000,102.49999999,0.00000000,0.0000000000000
5297,3880.00666672000000,0.00000000000000,3880.00666672000000,165.00027778,0.00000000,165.00027778,4454.200000,0.000000,4454.200000,187.00000000,0.00000000,187.00000000,22.50027778,520.0066667200000
5298,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,23.500000,0.000000,23.500000,1.00000000,0.00000000,1.00000000,0.00000000,0.0000000000000
5299,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,6.000000,0.000000,6.000000,0.25000000,0.00000000,0.25000000,0.00027778,0.0061111600000
5300,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,334.200000,0.000000,334.200000,14.00000000,0.00000000,14.00000000,0.00000000,0.0000000000000
5301,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,241.000000,0.000000,241.000000,10.75000000,0.00000000,10.75000000,0.00000000,0.0000000000000
5302,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00027778,0.0061111600000
5303,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,119.666667,0.000000,119.666667,5.41666666,0.00000000,5.41666666,0.00000000,0.0000000000000
5304,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,390.250000,0.000000,390.250000,16.25000000,0.00000000,16.25000000,0.00000000,0.0000000000000
5305,0.00611116000000,0.00000000000000,0.00611116000000,0.00027778,0.00000000,0.00027778,124.825000,0.000000,124.825000,6.00000000,0.00000000,6.00000000,0.00027778,0.0061111600000
