WO,Line,Percent Complete*
16502,20,100
16531,20,65
16532,20,100
16533,20,100
16534,20,100
16536,20,100
16537,20,100
16568,20,100
16569,20,100
16589,20,100
16599,20,100
16604,20,100
16605,20,100
16612,20,100
16617,20,100
16627,20,100
16628,20,100
16652,20,100
16662,20,100
16663,20,100
16664,20,100
16665,20,100
16666,20,100
16670,20,100
16672,20,100
16673,20,100
16674,20,100
16677,20,100
16730,20,100
16733,20,100
16734,20,100
16735,20,100
16736,20,100
16737,20,100
16738,20,100
16739,20,100
16740,20,100
16788,20,100
16789,20,100
16790,20,100
16791,20,100
16792,20,100
16811,20,100
16835,20,10
16836,20,100
16848,20,100
16852,20,95
16854,20,100
16859,20,100
16894,20,100
16899,20,100
16901,20,100
16902,20,100
16905,20,100
16926,20,100
16927,20,100
16928,20,100
16929,20,100
16930,20,100
16931,20,100
16932,20,100
16933,20,100
16934,20,100
16937,20,100
16938,20,100
16944,20,100
16954,20,100
16958,20,100
16959,20,100
16962,20,100
16966,20,85
16975,20,100
16978,20,100
16982,20,100
16988,20,95
16996,20,100
17008,20,25
17023,20,90
17028,20,100
17037,20,75
17058,20,100
17059,20,100
17060,20,100
17061,20,100
17063,20,100
17074,20,100
17075,20,100
17076,20,100
17078,20,100
17080,20,100
17081,20,100
17083,20,100
17091,20,100
17092,20,100
17112,20,100
17114,20,100
17117,20,100
17120,20,100
17122,20,100
17123,20,100
17126,20,100
17127,20,100
17129,20,100
17130,20,100
17131,20,100
17139,20,100
17141,20,100
17143,20,100
17152,20,100
17158,20,100
17159,20,100
17160,20,100
17161,20,100
17163,20,100
17170,20,100
17172,20,100
17173,20,100
17174,20,100
17177,20,100
17179,20,100
17184,20,100
17185,20,100
17186,20,100
17187,20,100
17188,20,100
17189,20,100
17190,20,100
17191,20,100
17193,20,100
17198,20,100
17199,20,100
17200,20,100
17201,20,100
17202,20,100
17203,20,100
17204,20,100
17205,20,100
17206,20,100
17207,20,100
17208,20,100
17209,20,100
17210,20,100
17211,20,100
17215,20,100
17219,20,100
17232,20,100
17234,20,100
17235,20,100
17236,20,100
17237,20,100
17238,20,100
17239,20,100
17240,20,100
17241,20,100
17242,20,100
17243,20,100
17244,20,100
17245,20,100
17247,20,100
17250,20,100
17252,20,100
17254,20,100
17256,20,100
17259,20,100
17262,20,100
17264,20,100
17266,20,100
17270,20,100
17271,20,100
17272,20,100
17273,20,100
17276,20,100
17279,20,100
17281,20,100
17284,20,100
17285,20,100
17287,20,100
17288,20,100
17293,20,100
17302,20,100
17305,20,100
17311,20,100
17314,20,100
17316,20,100
17317,20,100
17318,20,100
17319,20,100
17324,20,100
17328,20,100
17329,20,100
17330,20,100
17331,20,100
17334,20,15
17338,20,100
17339,20,100
